country,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,driving,transit,walking
Austria,2020-05-19,-22,-7,27,-33,-28,8,-7.03,0,-28.3
Austria,2020-05-20,-14,22,20,-29,-28,6,-1.56999999999999,0,-28.79
Austria,2020-05-21,-58,-87,82,-52,-80,20,-5.7,0,-31.2
Austria,2020-05-22,-20,2,28,-38,-44,10,-4.65000000000001,0,-23.96
Austria,2020-05-23,-32,-12,-6,-41,-13,6,-20.42,0,-43.31
Austria,2020-05-24,-44,-20,3,-37,-14,4,-13.87,0,-47.08
Austria,2020-05-25,-22,-9,-22,-37,-29,9,-9.15000000000001,0,-37.81
Austria,2020-05-26,-25,-8,-10,-36,-27,9,-5.69,0,-33.55
Austria,2020-05-27,-21,-8,38,-30,-26,7,-2.69,0,-24.16
Austria,2020-05-28,-26,-6,-27,-36,-28,9,-1.91,0,-32.83
Austria,2020-05-29,-23,-1,-6,-33,-28,7,7.06,0,-22.32
Austria,2020-05-30,-24,-2,16,-30,-5,2,-4.51000000000001,0,-24.63
Austria,2020-05-31,-44,-21,-13,-45,-14,4,-14.34,0,-48.05
Austria,2020-06-01,-46,-86,141,-45,-79,16,13.69,0,-19.37
Austria,2020-06-02,-13,9,40,-27,-29,5,11.56,0,-14.95
Austria,2020-06-03,-18,-3,23,-26,-23,5,9.53,0,-16.66
Austria,2020-06-04,-19,-4,10,-25,-23,5,11.11,0,-12.98
Austria,2020-06-05,-20,-3,-13,-30,-24,6,14,0,-15.35
Austria,2020-06-06,-20,-11,55,-22,-1,0,7.45,0,-7.55
Austria,2020-06-07,-30,-11,22,-31,-5,2,3.31999999999999,0,-35.28
Austria,2020-06-08,-14,-7,-4,-28,-25,5,8.73999999999999,0,-19.79
Austria,2020-06-09,-14,-4,8,-27,-25,6,13.08,0,-15.87
Austria,2020-06-10,-9,18,-3,-24,-26,3,26.42,0,-17.25
Austria,2020-06-11,-47,-85,96,-47,-76,17,25.28,0,-6.19
Austria,2020-06-12,-11,0,84,-29,-42,5,31.9,0,12.65
Austria,2020-06-13,-21,-13,95,-20,-1,-2,18.86,0,-4.34
Austria,2020-06-14,-35,-19,-18,-33,-2,1,14.42,0,-41.92
Austria,2020-06-15,-12,-7,-3,-26,-24,5,18.3,0,-14.4
Austria,2020-06-16,-11,-5,35,-22,-22,4,18.83,0,-7.23999999999999
Austria,2020-06-17,-12,-7,35,-22,-23,4,20.65,0,-6.20999999999999
Austria,2020-06-18,-14,-7,16,-24,-24,4,22.53,0,-3.58
Austria,2020-06-19,-17,-8,14,-25,-24,4,30.1,0,0.680000000000007
Austria,2020-06-20,-20,-12,-2,-30,-6,2,14,0,-15.74
Austria,2020-06-21,-35,-22,-13,-34,-9,2,15.29,0,-30.05
Austria,2020-06-22,-10,-9,50,-22,-24,3,22.73,0,-3.01
Austria,2020-06-23,-9,-8,92,-19,-23,2,27.08,0,2.8
Austria,2020-06-24,-11,-8,71,-20,-22,2,28.2,0,1.25
Austria,2020-06-25,-12,-6,26,-22,-24,4,31.95,0,2.06999999999999
Austria,2020-06-26,-14,-7,51,-21,-23,2,44.96,0,15.21
Austria,2020-06-27,-18,-13,89,-14,-2,-2,40.43,0,15.38
Austria,2020-06-28,-14,3,79,-11,2,-4,40.91,0,-12.3
Austria,2020-06-29,-11,-8,14,-24,-23,4,32.26,0,-1.81999999999999
Austria,2020-06-30,-2,-3,90,-16,-20,2,38.58,0,13.66
Austria,2020-07-01,-8,-4,57,-17,-21,2,41.72,0,10.28
Austria,2020-07-02,-7,-3,38,-18,-21,3,43.36,0,15.15
Austria,2020-07-03,-5,-1,42,-16,-23,2,58.67,0,25.89
Austria,2020-07-04,-12,-11,102,-9,-2,-3,51.19,0,25.71
Austria,2020-07-05,-6,12,114,-5,0,-6,59.71,0,7.69
Austria,2020-07-06,-5,-3,64,-19,-26,3,48.1,0,15.17
Austria,2020-07-07,2,1,108,-16,-26,2,52.63,0,29.11
Austria,2020-07-08,-2,-3,107,-17,-25,1,51.8,0,25.76
Austria,2020-07-09,-6,-5,80,-18,-26,1,54.17,0,27.37
Austria,2020-07-10,-14,-8,76,-19,-28,1,61.66,0,21.63
Austria,2020-07-11,-17,-8,-5,-25,-12,2,52.09,0,7.17
Austria,2020-07-12,0,14,110,-5,-3,-4,62.59,0,12.38
Austria,2020-07-13,0,-5,110,-18,-31,2,56.46,0,29.73
Austria,2020-07-14,-1,-5,136,-17,-31,1,56.37,0,31.06
Austria,2020-07-15,-3,-2,85,-21,-30,3,58.38,0,27.49
Austria,2020-07-16,-6,-5,32,-24,-32,4,59.51,0,23.88
Austria,2020-07-17,-11,-7,36,-24,-32,4,68.95,0,25.82
Austria,2020-07-18,-15,-12,35,-19,-11,1,64.37,0,22.34
Austria,2020-07-19,-5,14,90,-8,-6,-2,64.05,0,14.44
Austria,2020-07-20,-2,-6,135,-18,-33,1,62.58,0,32.92
Austria,2020-07-21,-4,-6,144,-19,-33,2,62.74,0,32.95
Austria,2020-07-22,-1,-4,114,-20,-31,3,66.2,0,39.27
Austria,2020-07-23,-5,-7,97,-20,-31,2,67.47,0,37.73
Austria,2020-07-24,-13,-8,59,-24,-33,4,82.03,0,36.97
Austria,2020-07-25,-12,-13,114,-8,-7,-2,75.2,0,40.4
Austria,2020-07-26,-5,17,93,-7,-5,-3,71.95,0,13.21
Austria,2020-07-27,-1,-6,155,-19,-35,1,69.8,0,36.43
Austria,2020-07-28,-10,-9,158,-21,-36,2,69.24,0,27.98
Austria,2020-07-29,-1,-4,125,-21,-35,3,74.11,0,42.46
Austria,2020-07-30,-5,-6,118,-20,-36,2,77.22,0,37.88
Austria,2020-07-31,-11,-7,118,-19,-36,1,94.72,0,35.38
Austria,2020-08-01,-16,-14,135,-4,-8,-5,83.04,0,32.04
Austria,2020-08-02,-8,18,76,-6,-7,-3,72.59,0,8.3
Austria,2020-08-03,3,-2,55,-25,-40,6,72.29,0,38.44
Austria,2020-08-04,1,-4,69,-25,-40,6,73.26,0,39.24
Austria,2020-08-05,3,-3,108,-22,-39,4,74.21,0,50.36
Austria,2020-08-06,0,-7,132,-18,-39,2,78.89,0,51.31
Austria,2020-08-07,-10,-9,128,-19,-39,1,94.69,0,43.18
Austria,2020-08-08,-15,-15,142,-4,-8,-5,86.9,0,42.01
Austria,2020-08-09,-2,22,131,-1,-3,-6,82.3,0,17.41
Austria,2020-08-10,-1,-5,153,-19,-38,1,73.21,0,40.06
Austria,2020-08-11,1,-3,156,-21,-38,3,75.54,0,46.6
Austria,2020-08-12,-1,-4,158,-20,-37,2,78.72,0,46.05
Austria,2020-08-13,-7,-7,89,-23,-38,4,76.82,0,45.71
Austria,2020-08-14,-4,15,80,-20,-38,3,83.06,0,49.54
Austria,2020-08-15,-40,-84,111,-12,-31,1,71.27,0,34.74
Austria,2020-08-16,3,29,115,-1,-5,-4,74.28,0,15.47
Austria,2020-08-17,3,3,95,-20,-36,3,65.75,0,39.33
Austria,2020-08-18,2,-2,104,-22,-34,4,67.96,0,48.21
Austria,2020-08-19,1,-6,138,-20,-34,2,71.72,0,50.49
Austria,2020-08-20,-5,-10,128,-19,-35,1,78.42,0,47.18
Austria,2020-08-21,-15,-12,125,-20,-36,1,83.49,0,41.39
Austria,2020-08-22,-20,-16,78,-15,-9,-2,63.06,0,22.94
